object,survey,pdf,reason
V* V2394 Oph,GOODS: Chandra ACIS HB,1976AJ_____81__958V,no survey
V* V2394 Oph,GOODS: Chandra ACIS FB,1976AJ_____81__958V,no survey
V* V2394 Oph,GOODS: Chandra ACIS SB,1976AJ_____81__958V,no survey
V* V2394 Oph,GOODS: VLT VIMOS U,1976AJ_____81__958V,no survey
V* V2394 Oph,GOODS: VLT VIMOS R,1976AJ_____81__958V,no survey
V* V2394 Oph,GOODS: HST ACS B,1976AJ_____81__958V,no survey
V* V2394 Oph,GOODS: HST ACS V,1976AJ_____81__958V,no survey
V* V2394 Oph,GOODS: HST ACS I,1976AJ_____81__958V,no survey
V* V2394 Oph,GOODS: HST ACS Z,1976AJ_____81__958V,no survey
V* V2394 Oph,Hawaii HDF U,1976AJ_____81__958V,no survey
V* V2394 Oph,Hawaii HDF B,1976AJ_____81__958V,no survey
V* V2394 Oph,Hawaii HDF V0201,1976AJ_____81__958V,no survey
V* V2394 Oph,Hawaii HDF V0401,1976AJ_____81__958V,no survey
V* V2394 Oph,Hawaii HDF R,1976AJ_____81__958V,no survey
V* V2394 Oph,Hawaii HDF I,1976AJ_____81__958V,no survey
V* V2394 Oph,Hawaii HDF z,1976AJ_____81__958V,no survey
V* V2394 Oph,Hawaii HDF HK,1976AJ_____81__958V,no images
V* V2394 Oph,GOODS: HST NICMOS,1976AJ_____81__958V,no survey
V* V2394 Oph,GOODS: VLT ISAAC J,1976AJ_____81__958V,no survey
V* V2394 Oph,GOODS: VLT ISAAC H,1976AJ_____81__958V,no survey
V* V2394 Oph,GOODS: VLT ISAAC Ks,1976AJ_____81__958V,no survey
V* V2394 Oph,HUDF: VLT ISAAC Ks,1976AJ_____81__958V,no survey
V* V2394 Oph,GOODS: Spitzer IRAC 3.6,1976AJ_____81__958V,no survey
V* V2394 Oph,GOODS: Spitzer IRAC 4.5,1976AJ_____81__958V,no survey
V* V2394 Oph,GOODS: Spitzer IRAC 5.8,1976AJ_____81__958V,no survey
V* V2394 Oph,GOODS: Spitzer IRAC 8.0,1976AJ_____81__958V,no survey
V* V2394 Oph,GOODS: Spitzer MIPS 24,1976AJ_____81__958V,no survey
V* V2394 Oph,GOODS: Herschel 100,1976AJ_____81__958V,no survey
V* V2394 Oph,GOODS: Herschel 160,1976AJ_____81__958V,no survey
V* V2394 Oph,GOODS: Herschel 250,1976AJ_____81__958V,no survey
V* V2394 Oph,GOODS: Herschel 350,1976AJ_____81__958V,no survey
V* V2394 Oph,GOODS: Herschel 500,1976AJ_____81__958V,no survey
V* V2394 Oph,CDFS: LESS,1976AJ_____81__958V,no survey
V* V2394 Oph,GOODS: VLA North,1976AJ_____81__958V,no survey
